ally,,,,
,,COMBINED CUSTOMER STATEMENT,,
,,,,Statement Date
,,,,01/19/2022
,,,,Page 2
,,,Customer Care Information,
,,,Toll Free 877-247-ALLY (2559),
Money Market Savings,,,,www.ally.com
Summary For: Helen Zhao,,,,
Account Number: 3LB29230,,Open Date: 01/01/2022,,
Product: Money Market Savings Account,,Account Ownership: Single,,
Summary,,,,
"Beginning Balance, as of 01/01/2022",$10.000.00,Days In Statement Period,,19
Deposits and Other Credits,"$12,264.51",Annual Percentage Yield Earned,,0.90%
Interest Paid This Period,$3.63,Average Daily Balance This Period,,"$4,774.74"
ATM Fees Reimbursed,$10.00,Interest Paid Year to Date,,$6.40
Withdrawals and Other Debits,"$14,405.47",,,
"Ending Balance, as of 01/19/2022","$7,859.04",,,
Overdraft Fee Summary,,This Period,Year-to-Date,
Overdraft Items Paid,,$0.00,$0.00,
Overdraft Items Returned,,$0.00,50.00,
Activity,,,,
Date,Description,Credits,Debits,Balance
01/01/2022 Beginning Balance,,,,"$10,000.00"
01/02/2022 ATM Withdrawal,,$0.00,-$503.00,"$9,407.00"
,BANCO POPULAR "639 AGUADILLA, PR" ,,,
,Transaction Fee: $ 3.00,,,
01/04/2022 Check Card Purchase,,$0.00,-$5.200.00,"$4,207.00"
,JOHN FITZGERALD O'NEAL,,,
,PA,,,
01/05/2022 Direct Deposit,,"$5,000.00",-$0.00,"$9,207.00"
,DIRECT CASH,,,
,TRANSFER,,,
01/07/2022 Check Card Purchase,,$0.00,-$33.82,"$9,173.18"
,"CLARA LEE, NJ",,,
01/08/2022 Check Card Purchase,,$0.00,-$23.42,"$9,149.76"
,UMA'S ISABELA. PA,,,
01/10/2022 Check Card Purchase,,$0.00,-$40.68,"$9,109.08"
,"UMA'S ISABELA, PA",,,
01/11/2022 Check Card Purchase,,$0.00,-$20.05,"$9,089.03"
,"LIAM MICHAELS,",,,
,NJ,,,
01/11/2022 Check Card Purchase,,$0.00,-$16.00,"$9,073.03"
,"TWO PINE MARKET, PA",,,
Ally Bank Member FDIC,,,,STMTCMB100 05/2013
,,,2253017903434357006002400623903352000 02 STMTOMBI00,
